user,map_changesets,account_age,comments,diary,map_notes,traces,wiki_edits
mga_geo,47211,0,0,0,0,0,0
multimob,25290,0,0,0,0,0,0
murble,16647,0,0,0,0,0,0
rskedgell,27327,0,0,0,0,0,0
simongrossi,429,0,0,0,0,0,0
