"user","map_changesets","map_notes","traces","diary","comments","date_creation","date_last_map_edit","account_age","map_activity_age","wiki_edits"
"multimob",26048,300,0,0,0,2021-09-10,2025-09-05,3.99178082191781,3.98904109589041,50
"mga_geo",47534,6,1,0,0,2010-09-03,2025-09-06,15.0191780821918,15.0191780821918,NA
"murble",16879,3728,688,0,0,2010-08-16,2025-09-05,15.0684931506849,15.0657534246575,NA
"rskedgell",28090,3778,185,0,1,2016-05-12,2025-09-06,9.32602739726027,9.32602739726027,16
"simongrossi",497,6,33,0,0,2011-03-27,2025-09-05,14.4575342465753,14.4547945205479,NA
"kirzoluaa",5,0,1,0,0,2017-02-19,2025-09-05,8.55068493150685,8.54794520547945,NA
